Model,Perfect Score,Predicted Score,Data Type
Model_NN:2_67-0.12.h5,17.07207,33.16822,TEST
Model_NN:2_67-0.12.h5,17.5339,33.69295,TRN0-50
Model_NN:2_67-0.12.h5,17.477079999999994,31.85638,TRN50-100
Model_NN:2_67-0.12.h5,13.88789,33.16822,TRN100-150
Model_NN:2_67-0.12.h5,18.51875,32.64348,TRN150-200
Model_NN:2_67-0.12.h5,18.14333,32.90585,TRN200-250
Model_NN:2_67-0.12.h5,18.50586,31.06927,TRN250-300
Model_NN:2_67-0.12.h5,13.36621,31.85638,TRN350-400
Model_NN:2_67-0.12.h5,16.11437,32.90585,TRN450-500
Model_NN:2_67-0.12.h5,14.51007,32.64348,TRN500-550
Model_NN:2_67-0.12.h5,10.28945,31.85638,TRN550-600
Model_NN:2_67-0.12.h5,16.37049,32.38111,TRN650-700
Model_NN:2_67-0.12.h5,13.254970000000002,33.43058,TRN700-750
Model_NN:2_67-0.12.h5,10.98013,33.16822,TRN750-800
Model_NN:2_67-0.12.h5,18.06478,30.0198,TRN800-850
Model_NN:2_67-0.12.h5,14.52522,30.54454,TRN850-900
Model_NN:2_67-0.12.h5,15.75412,31.85638,TRN900-950
Model_NN:2_67-0.12.h5,16.08517,32.11874,TRN950-1000
Model_NN:2_67-0.12.h5,17.174329999999998,33.95532,TRN1000-1050
Model_NN:2_67-0.12.h5,11.30804,32.11874,TRN1100-1150
Model_NN:2_67-0.12.h5,10.80938,33.16822,TRN1300-1350
Model_NN:2_67-0.12.h5,6.256576,31.331640000000004,TRN1450-1500
Model_NN:2_67-0.12.h5,8.272253,32.90585,TRN1550-1600
Model_NN:2_67-0.12.h5,7.259183,31.06927,TRN1600-1650
Model_NN:2_67-0.12.h5,3.687377,30.54454,TRN1650-1700
Model_NN:2_67-0.12.h5,8.646174,31.85638,TRN1700-1750
Model_NN:2_67-0.12.h5,4.282795,31.59401,TRN1750-1800
Model_NN:2_67-0.12.h5,10.17403,31.59401,TRN1850-1900
Model_NN:2_67-0.12.h5,10.34137,32.38111,TRN1900-1950
Model_NN:2_67-0.12.h5,12.168,32.90585,TRN1950-2000
Model_NN:2_67-0.12.h5,5.267036,31.06927,TRN2000-2050
Model_NN:2_67-0.12.h5,10.17989,32.11874,TRN2050-2100
Model_NN:2_67-0.12.h5,11.84426,32.11874,TRN2100-2150
Model_NN:2_67-0.12.h5,6.410659,30.80691,TRN2150-2200
Model_NN:2_67-0.12.h5,5.8810970000000005,32.64348,TRN2200-2250
Model_NN:2_67-0.12.h5,7.823614999999998,31.331640000000004,TRN2250-2300
Model_NN:2_67-0.12.h5,5.8745980000000015,31.06927,TRN2300-2350
Model_NN:2_67-0.12.h5,17.02306,32.38111,TRN2450-2500
Model_NN:2_67-0.12.h5,18.95066,33.43058,TRN2500-2550
Model_NN:2_67-0.12.h5,14.4527,32.90585,TRN2600-2650
Model_NN:2_67-0.12.h5,18.55316,33.95532,TRN2650-2700
Model_NN:2_67-0.12.h5,18.40842,32.90585,TRN2700-2750
Model_NN:2_67-0.12.h5,19.17348,31.59401,TRN2750-2800
Model_NN:2_67-0.12.h5,20.26542,31.59401,TRN2800-2850
Model_NN:2_67-0.12.h5,17.53688,31.331640000000004,TRN2850-2900
Model_NN:2_67-0.12.h5,20.50774,33.69295,TRN2900-2950
Model_NN:2_67-0.12.h5,17.47355,33.69295,TRN3000-3050
Model_NN:2_67-0.12.h5,18.72582,32.38111,TRN3100-3150
Model_NN:2_67-0.12.h5,13.02764,32.90585,TRN3200-3250
Model_NN:2_67-0.12.h5,18.73393,30.80691,TRN3300-3350
Model_NN:2_67-0.12.h5,20.04831,32.38111,TRN3350-3400
Model_NN:2_67-0.12.h5,18.91434,32.64348,TRN3400-3450
Model_NN:2_67-0.12.h5,15.88153,31.331640000000004,TRN3450-3500
Model_NN:2_67-0.12.h5,15.91099,33.16822,TRN3500-3550
Model_NN:2_67-0.12.h5,17.86365,32.90585,TRN3600-3650
Model_NN:2_67-0.12.h5,16.61315,32.64348,TRN3650-3700
Model_NN:2_67-0.12.h5,13.56186,33.16822,TRN3800-3850
Model_NN:2_67-0.12.h5,17.008010000000002,31.59401,TRN3850-3900
Model_NN:2_67-0.12.h5,14.533829999999998,32.90585,TRN3900-3950
Model_NN:2_67-0.12.h5,14.95531,31.06927,TRN4000-4050
Model_NN:2_67-0.12.h5,17.50968,34.48005,TRN4100-4150
Model_NN:2_67-0.12.h5,15.28685,32.90585,TRN4200-4250
Model_NN:2_67-0.12.h5,19.730970000000006,32.38111,TRN4250-4300
Model_NN:2_67-0.12.h5,18.17134,31.331640000000004,TRN4300-4350
Model_NN:2_67-0.12.h5,16.34649,32.90585,TRN4350-4400
Model_NN:2_67-0.12.h5,16.65196,31.331640000000004,TRN4400-4450
Model_NN:2_67-0.12.h5,15.29803,32.38111,TRN4500-4550
Model_NN:2_67-0.12.h5,17.26264,31.59401,TRN4550-4600
Model_NN:2_67-0.12.h5,10.29071,33.16822,TRN4650-4700
Model_NN:2_67-0.12.h5,15.87404,32.90585,TRN4700-4750
Model_NN:2_67-0.12.h5,20.05044,32.90585,TRN4750-4800
Model_NN:2_67-0.12.h5,17.50264,32.11874,TRN4800-4850
Model_NN:2_67-0.12.h5,13.07683,32.38111,TRN4850-4900
Model_NN:2_67-0.12.h5,13.25266,33.43058,TRN4900-4950
Model_NN:2_67-0.12.h5,17.07665,32.90585,TRN4950-5000
Model_NN:2_67-0.12.h5,16.15991,33.43058,TRN5000-5050
Model_NN:2_67-0.12.h5,9.877631,33.16822,TRN5050-5100
Model_NN:2_67-0.12.h5,10.42919,32.11874,TRN5100-5150
Model_NN:2_67-0.12.h5,15.58421,33.95532,TRN5150-5200
Model_NN:2_67-0.12.h5,16.90744,33.16822,TRN5200-5250
Model_NN:2_67-0.12.h5,17.01664,32.38111,TRN5250-5300
Model_NN:2_67-0.12.h5,18.74264,32.38111,TRN5300-5350
Model_NN:2_67-0.12.h5,14.71855,32.64348,TRN5350-5400
