GeneID	tfA-del t=0	tfA-del t=10	tfA-del t=20	tfA-del t=30	tfA-del t=45	tfA-del t=60	tfA-del t=90	tfA-del t=120
8413	13	30	25	24	23	23	24	24
0140	12	19	15	17	17	10	8	5
6308	2	2	1	1	1	1	1	1
1874	8	4	2	2	4	2	2	3
6509	6	21	20	18	18	12	13	8
9268	46	50	50	50	50	50	50	50
6884	9	18	16	14	12	14	16	11
8881	20	8	9	13	15	21	15	18
7840	10	1	3	4	5	6	5	6
4261	42	40	37	31	32	31	33	32
2795	15	33	26	26	21	22	27	27
2713	35	20	34	38	39	40	38	37
7542	40	47	43	42	37	33	41	40
2539	23	26	21	19	19	18	21	17
5850	25	11	29	37	40	38	32	25
4174	30	14	11	8	7	9	12	14
0561	28	31	24	22	24	24	23	22
7695	19	36	30	27	26	25	26	30
1672	50	44	46	44	41	43	46	46
2029	11	16	12	12	10	5	3	2
2167	27	38	33	32	30	26	30	26
4234	37	32	35	33	36	37	34	34
8022	39	27	42	43	44	46	42	43
0183	16	10	10	10	13	15	10	12
8502	4	24	17	15	14	16	18	21
4414	31	45	36	29	22	17	20	19
3061	17	3	4	6	6	8	4	4
3002	45	42	40	36	33	34	37	36
7937	32	22	27	34	34	35	31	33
8370	1	7	6	3	2	4	9	10
9219	34	13	28	39	43	45	40	45
1902	3	5	7	7	9	13	14	15
5225	47	43	47	48	47	48	48	47
1362	7	9	8	9	11	11	11	13
6785	22	12	18	23	28	29	22	20
3589	18	37	19	11	8	7	6	7
8585	26	17	14	20	25	28	25	31
3065	43	39	45	46	49	49	47	48
4066	41	34	31	35	35	36	39	41
6657	24	15	13	16	16	19	19	23
1657	48	49	49	47	48	47	49	49
0591	21	29	23	21	20	20	17	16
3400	14	35	32	28	27	27	28	28
6984	36	48	48	49	46	42	45	38
6322	29	41	38	30	31	30	29	29
6225	33	23	39	40	42	41	36	35
5669	49	46	44	41	38	39	44	44
2507	5	6	5	5	3	3	7	9
1038	44	25	22	25	29	32	35	39
5964	38	28	41	45	45	44	43	42
