GeneID	tfA-del t=0	tfA-del t=10	tfA-del t=20	tfA-del t=30	tfA-del t=45	tfA-del t=60	tfA-del t=90	tfA-del t=120
8413	14	31	33	26	15	19	20	21
0140	16	23	15	13	11	7	5	6
6308	3	8	1	1	1	1	1	1
1874	11	4	5	5	5	5	6	4
6509	5	21	19	20	13	10	9	8
9268	50	50	50	50	50	47	49	49
6884	10	25	27	18	12	15	27	15
8881	26	5	10	28	28	36	28	25
7840	18	6	11	19	17	18	18	13
4261	38	42	41	35	33	33	42	33
2795	8	32	32	27	20	16	30	29
2713	25	9	25	40	41	42	44	40
7542	49	47	45	45	40	34	40	43
2539	27	27	23	14	10	8	19	10
5850	30	7	26	47	46	48	38	37
4174	33	26	17	7	6	6	10	9
0561	29	36	35	24	24	20	15	18
7695	22	39	39	29	27	30	32	34
1672	46	40	38	33	38	41	37	35
2029	13	18	9	8	8	3	3	2
2167	32	34	24	25	25	17	13	17
4234	34	30	36	38	42	40	35	38
8022	41	24	30	30	37	35	33	24
0183	24	16	21	17	18	14	16	16
8502	4	37	31	32	21	25	22	36
4414	42	48	47	42	23	9	25	23
3061	6	1	4	10	19	11	7	7
3002	47	46	46	39	36	39	47	46
7937	19	12	20	37	39	38	34	30
8370	1	15	12	9	7	21	36	39
9219	9	3	16	41	45	49	43	45
1902	2	2	2	3	4	13	14	14
5225	48	41	43	44	44	45	41	44
1362	17	19	14	11	22	27	11	32
6785	7	10	8	15	26	23	12	11
3589	20	35	7	4	3	2	2	3
8585	12	11	6	12	31	29	8	22
3065	36	22	37	46	48	46	45	47
4066	43	28	22	22	30	28	29	26
6657	31	17	18	16	16	22	23	20
1657	44	49	49	49	49	50	50	50
0591	28	33	29	21	14	12	17	12
3400	15	38	40	31	32	31	21	27
6984	37	44	48	48	47	43	39	41
6322	35	43	42	36	34	32	31	31
6225	39	29	28	23	29	26	24	19
5669	45	45	44	34	35	37	46	48
2507	21	14	3	2	2	4	4	5
1038	40	20	13	6	9	24	26	28
5964	23	13	34	43	43	44	48	42
