GeneID	absolute expression, parental strain t=0 (arbitrary units)	wt t=0	wt t=10	wt t=20	wt t=30	wt t=45	wt t=60	wt t=90	wt t=120	tfA-del t=0	tfA-del t=10	tfA-del t=20	tfA-del t=30	tfA-del t=45	tfA-del t=60	tfA-del t=90	tfA-del t=120	tfB-del t=0	tfB-del t=10	tfB-del t=20	tfB-del t=30	tfB-del t=45	tfB-del t=60	tfB-del t=90	tfB-del t=120	tfC-del t=0	tfC-del t=10	tfC-del t=20	tfC-del t=30	tfC-del t=45	tfC-del t=60	tfC-del t=90	tfC-del t=120
0045	0,194	0,000	0,080	-0,021	-0,208	0,071	-0,066	-0,064	-0,062	-0,149	-0,166	0,085	-0,026	0,241	-0,050	-0,009	-0,011	-0,230	-0,043	0,128	-0,075	-0,175	-0,034	0,082	-0,080	-0,185	-0,205	-0,072	-0,061	0,000	0,042	-0,147	-0,246
7767	1,48	0,000	-0,467	-0,376	-0,619	-0,199	-0,107	-0,143	-0,210	0,066	0,013	0,150	0,224	0,377	0,238	-0,036	0,085	-0,147	0,208	0,368	0,260	0,313	0,394	0,302	-0,148	-0,149	-0,383	0,183	-0,007	0,020	-0,052	0,074	0,188
3443	13,96	0,000	-0,313	-0,147	-0,641	-0,098	-0,200	-0,305	-0,083	-0,014	-0,229	-0,999	-0,230	-0,169	0,127	-0,656	-0,122	0,059	-0,423	-0,394	-0,026	-0,561	-0,435	-0,478	-0,611	-0,385	-0,591	-0,320	-0,110	-0,469	-0,443	-0,285	-0,356
5965	132,6	0,000	-0,183	-0,106	-0,448	-0,119	-0,167	-0,245	-0,194	-0,132	-0,247	-0,664	-0,225	-0,124	-0,166	-0,642	-0,130	-0,327	-0,299	-0,214	-0,075	-0,423	-0,534	-0,302	-0,473	-0,285	-0,493	-0,358	-0,405	-0,500	-0,344	-0,263	-0,376
1341	0,148	0,000	0,165	0,183	0,186	0,103	0,130	0,108	0,186	0,086	0,068	-0,064	0,248	0,193	0,099	0,196	0,091	0,068	0,051	0,165	0,023	-0,001	0,099	0,112	0,349	0,037	0,013	-0,006	0,057	0,053	0,163	-0,024	-0,065
6909	3,83	0,000	-0,239	-0,140	-0,805	-0,153	-0,165	-0,358	-0,183	-0,061	0,082	0,452	0,051	0,194	0,125	-0,321	-0,094	-0,438	0,022	-0,229	-0,301	-0,285	-0,123	-0,128	-0,599	0,006	-0,059	0,240	-0,062	0,054	-0,151	0,128	0,102
2437	1,125	0,000	0,544	-0,179	-0,719	-0,052	-0,209	-0,179	-0,115	-0,076	0,108	0,141	0,290	0,542	0,068	-0,631	-0,220	-0,234	0,699	0,158	-0,143	-0,238	-0,192	-0,303	-0,322	-0,439	-0,246	-0,148	-0,112	-0,241	-0,242	-0,198	-0,331
3251	2,045	0,000	0,012	-0,132	-0,120	-0,166	-0,257	-0,443	-0,547	-0,339	-0,381	0,012	-0,299	-0,162	0,003	-0,386	-0,544	-0,195	-0,203	-0,187	-0,274	0,025	-0,023	-0,473	-0,591	-0,316	0,079	0,221	-0,544	0,019	-0,490	-0,267	-0,098
8648	0,346	0,000	0,163	0,206	0,537	0,186	0,178	0,080	0,068	-0,016	-0,207	-0,222	-0,017	0,128	0,017	0,128	0,141	0,191	0,434	0,513	0,228	0,184	0,175	0,059	0,246	-0,143	-0,166	-0,098	-0,009	0,037	0,031	-0,161	-0,054
8587	0,926	0,000	0,438	0,160	0,272	0,353	0,313	-0,192	-0,217	-0,354	-0,567	-0,358	0,154	0,175	-0,011	0,013	0,079	-0,387	-0,185	-0,050	-0,247	-0,377	-0,518	-0,019	-0,230	0,189	-0,079	-0,073	-0,073	-0,054	0,306	0,111	-0,052
