GeneID,"absolute expression, parental strain t=0 (arbitrary units)",wt t=0,wt t=10,wt t=20,wt t=30,wt t=45,wt t=60,wt t=90,wt t=120,tfA-del t=0,tfA-del t=10,tfA-del t=20,tfA-del t=30,tfA-del t=45,tfA-del t=60,tfA-del t=90,tfA-del t=120,tfB-del t=0,tfB-del t=10,tfB-del t=20,tfB-del t=30,tfB-del t=45,tfB-del t=60,tfB-del t=90,tfB-del t=120,tfC-del t=0,tfC-del t=10,tfC-del t=20,tfC-del t=30,tfC-del t=45,tfC-del t=60,tfC-del t=90,tfC-del t=120
45,0.194,0.0,0.08,-0.021,-0.208,0.071,-0.066,-0.064,-0.062,-0.149,-0.166,0.085,-0.026,0.241,-0.050,-0.009,-0.011,-0.23,-0.043,0.128,-0.075,-0.175,-0.034,0.082,-0.08,-0.185,-0.205,-0.072,-0.061,0.0,0.042,-0.147,-0.246
7767,1.48,0.0,-0.467,-0.376,-0.619,-0.199,-0.107,-0.143,-0.21,0.066,0.013,0.150,0.224,0.377,0.238,-0.036,0.085,-0.147,0.208,0.368,0.26,0.313,0.394,0.302,-0.148,-0.149,-0.383,0.183,-0.007,0.02,-0.052,0.074,0.188
3443,13.96,0.0,-0.313,-0.147,-0.641,-0.098,-0.2,-0.305,-0.083,-0.014,-0.229,-0.999,-0.230,-0.169,0.127,-0.656,-0.122,0.059,-0.423,-0.394,-0.026,-0.561,-0.435,-0.478,-0.611,-0.385,-0.591,-0.32,-0.11,-0.469,-0.443,-0.285,-0.356
5965,132.6,0.0,-0.183,-0.106,-0.448,-0.119,-0.167,-0.245,-0.194,-0.132,-0.247,-0.664,-0.225,-0.124,-0.166,-0.642,-0.130,-0.327,-0.299,-0.214,-0.075,-0.423,-0.534,-0.302,-0.473,-0.285,-0.493,-0.358,-0.405,-0.5,-0.344,-0.263,-0.376
1341,0.148,0.0,0.165,0.183,0.186,0.103,0.13,0.108,0.186,0.086,0.068,-0.064,0.248,0.193,0.099,0.196,0.091,0.068,0.051,0.165,0.023,-0.001,0.099,0.112,0.349,0.037,0.013,-0.006,0.057,0.053,0.163,-0.024,-0.065
6909,3.83,0.0,-0.239,-0.14,-0.805,-0.153,-0.165,-0.358,-0.183,-0.061,0.082,0.452,0.051,0.194,0.125,-0.321,-0.094,-0.438,0.022,-0.229,-0.301,-0.285,-0.123,-0.128,-0.599,0.006,-0.059,0.24,-0.062,0.054,-0.151,0.128,0.102
2437,1.125,0.0,0.544,-0.179,-0.719,-0.052,-0.209,-0.179,-0.115,-0.076,0.108,0.141,0.290,0.542,0.068,-0.631,-0.220,-0.234,0.699,0.158,-0.143,-0.238,-0.192,-0.303,-0.322,-0.439,-0.246,-0.148,-0.112,-0.241,-0.242,-0.198,-0.331
3251,2.045,0.0,0.012,-0.132,-0.12,-0.166,-0.257,-0.443,-0.547,-0.339,-0.381,0.012,-0.299,-0.162,0.003,-0.386,-0.544,-0.195,-0.203,-0.187,-0.274,0.025,-0.023,-0.473,-0.591,-0.316,0.079,0.221,-0.544,0.019,-0.49,-0.267,-0.098
8648,0.346,0.0,0.163,0.206,0.537,0.186,0.178,0.08,0.068,-0.016,-0.207,-0.222,-0.017,0.128,0.017,0.128,0.141,0.191,0.434,0.513,0.228,0.184,0.175,0.059,0.246,-0.143,-0.166,-0.098,-0.009,0.037,0.031,-0.161,-0.054
8587,0.926,0.0,0.438,0.16,0.272,0.353,0.313,-0.192,-0.217,-0.354,-0.567,-0.358,0.154,0.175,-0.011,0.013,0.079,-0.387,-0.185,-0.05,-0.247,-0.377,-0.518,-0.019,-0.23,0.189,-0.079,-0.073,-0.073,-0.054,0.306,0.111,-0.052
7169,7.689,0.0,-0.364,-0.834,-1.027,-0.293,-0.253,-0.361,-0.394,0.079,-0.264,-0.632,-0.341,-0.009,-0.180,-0.829,-0.554,0.582,-0.038,0.108,0.478,0.651,0.617,0.068,-0.314,-0.172,-0.411,-0.491,-0.402,-0.421,-0.253,-0.449,-0.48
2896,0.162,0.0,0.183,0.103,0.173,0.12,0.1,0.068,0.186,0.158,-0.050,0.103,0.108,0.241,0.125,0.013,-0.187,0.042,0.386,0.019,0.131,0.178,0.141,-0.013,-0.003,0.045,0.019,0.141,-0.029,-0.01,-0.024,0.031,-0.187
5367,0.859,0.0,-1.481,-1.623,-1.741,-1.308,-1.276,-0.912,-0.821,0.494,-0.993,-0.933,-0.554,-0.080,0.194,-0.679,-0.122,2.442,0.193,-0.735,-0.44,-0.953,-0.628,-0.529,-0.682,0.963,-0.742,-0.397,-0.274,-0.014,0.326,-0.098,-0.236
6842,1.015,0.0,0.188,-0.124,-0.607,-0.183,-0.149,-0.193,-0.02,0.023,0.219,-0.065,-0.160,-0.034,-0.151,-0.385,-0.003,-0.305,0.039,0.085,0.089,-0.099,-0.225,0.038,-0.009,-0.001,0.108,-0.238,0.091,-0.176,-0.006,0.08,0.186
2545,2.889,0.0,-0.723,-0.523,-0.387,-0.362,-0.668,-0.737,-0.716,-0.430,-0.901,-0.951,-0.896,-0.696,-0.293,-0.563,-0.666,0.281,-0.404,-0.306,-0.335,-0.104,0.085,-0.325,-0.804,0.527,-0.14,0.059,-0.457,-0.068,-0.49,-0.274,-0.22
4354,22.2,0.0,-0.764,-0.546,-0.973,-0.909,-0.802,-0.758,-0.742,0.351,0.000,0.057,-0.095,0.085,0.223,-0.447,-0.037,0.253,-0.141,-0.091,0.066,-0.066,0.086,0.114,-0.696,0.12,-0.161,0.019,-0.293,-0.029,-0.136,-0.147,0.131
1301,13.55,0.0,-0.165,-0.112,-0.61,-0.021,-0.089,-0.138,0.065,0.253,-0.167,0.000,-0.119,0.059,-0.094,-0.195,0.170,-0.427,-0.566,-0.425,-0.32,-0.292,-0.079,-0.048,-0.245,-0.118,-0.104,-0.203,0.004,-0.224,0.031,0.026,-0.04
8828,0.24,0.0,0.032,-0.027,0.131,0.175,-0.068,-0.066,0.272,-0.227,-0.300,0.157,-0.158,0.246,0.105,0.045,-0.045,-0.205,0.039,0.198,-0.075,-0.069,-0.134,-0.17,0.358,-0.236,-0.162,-0.085,-0.044,-0.013,-0.034,-0.228,-0.088
8188,0.23,0.0,-0.037,0.223,0.246,0.173,-0.065,-0.047,0.007,-0.152,-0.308,-0.099,-0.007,0.065,0.020,-0.130,0.004,-0.24,-0.084,-0.132,-0.088,-0.235,-0.175,-0.296,0.318,-0.202,-0.228,-0.131,-0.203,-0.338,-0.148,-0.33,-0.264
7984,29.5,0.0,-1.614,-1.732,-1.599,-0.496,-0.323,-0.756,-0.633,-0.432,-1.623,-0.548,-0.507,-0.450,-0.663,-1.418,-1.244,-1.001,-1.42,-0.615,-0.296,0.091,0.08,-0.202,-1.482,-0.32,-0.942,-0.19,-0.372,-0.157,-0.433,-0.563,-0.853
4063,1.873,0.0,-0.339,-0.551,-0.646,-0.302,-0.471,-0.695,-0.635,-0.280,-0.427,-0.492,-0.595,-0.148,-0.262,-0.589,-0.392,-0.574,-0.052,-0.242,-0.409,-0.312,-0.24,-0.408,-0.734,-0.368,-0.282,0.069,-0.552,-0.344,-0.72,-0.458,-0.42
1252,1.428,0.0,-0.529,-0.655,-0.449,-0.376,-0.087,-0.197,-0.047,-0.231,-0.686,-0.884,-0.620,-0.009,-0.425,-0.575,-0.341,-0.329,-0.635,-0.459,-0.508,-0.283,-0.224,-0.362,-0.195,-0.44,-0.644,-0.501,-0.245,-0.338,-0.399,-0.455,-0.528
1004,0.196,0.0,0.231,0.162,0.456,0.385,0.283,0.181,0.819,-0.098,0.134,0.336,0.108,0.221,0.279,0.431,0.635,-0.004,0.201,0.144,0.068,0.265,0.191,0.411,0.454,-0.224,-0.103,-0.094,-0.064,-0.011,0.105,0.375,0.411
8475,0.217,0.0,0.138,0.06,0.69,0.138,0.085,0.08,0.201,0.065,0.029,0.173,0.111,0.097,0.037,0.142,0.079,-0.2,0.066,0.317,-0.021,-0.016,-0.013,-0.068,0.388,0.014,-0.22,-0.047,-0.087,-0.103,-0.066,0.092,-0.273
